"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11","COST_FT12","COST_FT2_S","COST_FT3_S","COST_FT4_S","COST_FT5_S","COST_FT8_S","COST_FT9_S","COST_FT10_S","COST_FT1_S","COST_FT6_S","COST_FT7_S","COST_FT11_S","COST_N_ITEMS_ANSWERED","COST_ITEM_SUM","COST_GP_TOTAL","COST_PRORATED","COST_MISSING"
49,0,4,4,3,0,4,1,2,4,1,1,2,0,0,1,4,2,0,3,0,4,1,1,11,16,16,FALSE,FALSE
50,0,1,0,4,2,1,4,2,3,3,4,2,3,4,0,2,2,1,1,0,1,4,4,11,22,22,FALSE,FALSE
51,3,0,0,3,4,2,0,0,4,2,4,2,4,4,1,0,4,0,2,3,2,0,4,11,24,24,FALSE,FALSE
52,4,1,1,1,2,4,2,1,1,0,0,0,3,3,3,2,3,3,4,4,4,2,0,11,31,31,FALSE,FALSE
53,3,2,0,1,4,4,1,3,4,4,1,3,2,4,3,0,1,0,0,3,4,1,1,11,19,19,FALSE,FALSE
54,4,3,0,3,1,4,0,1,1,0,0,3,1,4,1,3,3,3,4,4,4,0,0,11,27,27,FALSE,FALSE
55,2,4,2,0,2,0,2,1,1,4,3,0,0,2,4,2,3,3,0,2,0,2,3,11,21,21,FALSE,FALSE
56,0,2,0,2,3,2,2,1,1,3,1,4,2,4,2,1,3,3,1,0,2,2,1,11,21,21,FALSE,FALSE
57,3,3,2,1,1,0,2,1,1,0,2,0,1,2,3,3,3,3,4,3,0,2,2,11,26,26,FALSE,FALSE
58,2,0,0,3,4,0,1,3,1,1,2,0,4,4,1,0,1,3,3,2,0,1,2,11,21,21,FALSE,FALSE
59,0,3,1,0,3,0,4,0,0,4,3,0,1,3,4,1,4,4,0,0,0,4,3,11,24,24,FALSE,FALSE
60,0,4,4,3,1,3,3,1,3,4,0,0,0,0,1,3,3,1,0,0,3,3,0,11,14,14,FALSE,FALSE
61,3,4,2,3,4,0,1,1,1,2,4,0,0,2,1,0,3,3,2,3,0,1,4,11,19,19,FALSE,FALSE
62,4,3,3,1,0,0,3,3,3,3,4,4,1,1,3,4,1,1,1,4,0,3,4,11,23,23,FALSE,FALSE
63,0,4,3,3,2,3,1,4,1,4,2,1,0,1,1,2,0,3,0,0,3,1,2,11,13,13,FALSE,FALSE
64,2,3,2,4,3,2,3,0,3,3,0,1,1,2,0,1,4,1,1,2,2,3,0,11,17,17,FALSE,FALSE
65,3,4,1,1,2,3,3,2,2,3,2,0,0,3,3,2,2,2,1,3,3,3,2,11,24,24,FALSE,FALSE
66,0,0,1,2,4,3,4,1,1,4,2,1,4,3,2,0,3,3,0,0,3,4,2,11,24,24,FALSE,FALSE
67,4,2,1,0,3,0,1,2,3,1,1,0,2,3,4,1,2,1,3,4,0,1,1,11,22,22,FALSE,FALSE
68,4,4,3,0,3,3,4,0,1,2,1,1,0,1,4,1,4,3,2,4,3,4,1,11,27,27,FALSE,FALSE
69,3,1,4,3,0,3,0,4,3,1,3,4,3,0,1,4,0,1,3,3,3,0,3,11,21,21,FALSE,FALSE
70,4,0,0,1,3,2,3,0,0,0,1,0,4,4,3,1,4,4,4,4,2,3,1,11,34,34,FALSE,FALSE
71,4,2,0,3,1,0,2,0,3,4,2,1,2,4,1,3,4,1,0,4,0,2,2,11,23,23,FALSE,FALSE
72,0,3,3,4,2,0,1,2,3,4,0,4,1,1,0,2,2,1,0,0,0,1,0,11,8,8,FALSE,FALSE
73,1,1,0,2,1,2,0,0,1,0,4,2,3,4,2,3,4,3,4,1,2,0,4,11,30,30,FALSE,FALSE
74,3,4,3,3,2,4,0,1,2,4,1,2,0,1,1,2,3,2,0,3,4,0,1,11,17,17,FALSE,FALSE
75,2,3,1,1,2,4,3,0,0,3,1,2,1,3,3,2,4,4,1,2,4,3,1,11,28,28,FALSE,FALSE
76,4,1,4,2,1,3,2,0,1,2,2,1,3,0,2,3,4,3,2,4,3,2,2,11,28,28,FALSE,FALSE
77,2,0,2,4,1,4,0,4,3,0,0,4,4,2,0,3,0,1,4,2,4,0,0,11,20,20,FALSE,FALSE
78,4,4,2,3,0,1,1,0,0,2,2,3,0,2,1,4,4,4,2,4,1,1,2,11,25,25,FALSE,FALSE
79,0,1,0,3,0,4,1,1,1,4,1,1,3,4,1,4,3,3,0,0,4,1,1,11,24,24,FALSE,FALSE
80,2,2,0,3,3,0,2,2,1,3,0,1,2,4,1,1,2,3,1,2,0,2,0,11,18,18,FALSE,FALSE
81,4,2,0,0,0,4,3,3,1,2,4,2,2,4,4,4,1,3,2,4,4,3,4,11,35,35,FALSE,FALSE
82,1,2,1,0,1,1,4,1,0,1,2,3,2,3,4,3,3,4,3,1,1,4,2,11,30,30,FALSE,FALSE
83,3,2,0,2,2,4,2,1,0,2,4,1,2,4,2,2,3,4,2,3,4,2,4,11,32,32,FALSE,FALSE
84,1,2,1,1,2,0,2,3,0,1,1,1,2,3,3,2,1,4,3,1,0,2,1,11,22,22,FALSE,FALSE
85,0,0,1,0,1,0,3,1,2,1,3,1,4,3,4,3,3,2,3,0,0,3,3,11,28,28,FALSE,FALSE
86,3,4,1,1,2,2,1,0,3,3,1,2,0,3,3,2,4,1,1,3,2,1,1,11,21,21,FALSE,FALSE
87,1,3,0,2,2,2,3,4,2,0,0,1,1,4,2,2,0,2,4,1,2,3,0,11,21,21,FALSE,FALSE
88,3,1,1,4,0,1,0,0,4,1,2,4,3,3,0,4,4,0,3,3,1,0,2,11,23,23,FALSE,FALSE
89,4,4,3,4,2,4,2,2,1,3,0,1,0,1,0,2,2,3,1,4,4,2,0,11,19,19,FALSE,FALSE
90,1,2,0,3,3,1,0,4,0,1,1,4,2,4,1,1,0,4,3,1,1,0,1,11,18,18,FALSE,FALSE
91,3,1,1,3,4,4,2,0,3,3,1,1,3,3,1,0,4,1,1,3,4,2,1,11,23,23,FALSE,FALSE
92,4,0,2,2,4,4,4,2,4,1,4,0,4,2,2,0,2,0,3,4,4,4,4,11,29,29,FALSE,FALSE
93,2,2,4,0,4,3,3,2,2,4,1,0,2,0,4,0,2,2,0,2,3,3,1,11,19,19,FALSE,FALSE
94,0,1,0,4,3,2,0,3,1,0,2,4,3,4,0,1,1,3,4,0,2,0,2,11,20,20,FALSE,FALSE
95,0,2,2,2,2,3,1,1,0,1,2,4,2,2,2,2,3,4,3,0,3,1,2,11,24,24,FALSE,FALSE
96,0,0,4,2,4,2,3,0,0,1,0,1,4,0,2,0,4,4,3,0,2,3,0,11,22,22,FALSE,FALSE
97,0,0,3,0,3,2,4,2,1,1,2,1,4,1,4,1,2,3,3,0,2,4,2,11,26,26,FALSE,FALSE
98,0,4,4,1,2,3,2,4,4,1,0,3,0,0,3,2,0,0,3,0,3,2,0,11,13,13,FALSE,FALSE
99,4,3,3,1,0,2,0,3,0,3,3,2,1,1,3,4,1,4,1,4,2,0,3,11,24,24,FALSE,FALSE
100,3,4,4,4,3,4,3,0,0,4,2,3,0,0,0,1,4,4,0,3,4,3,2,11,21,21,FALSE,FALSE
101,2,3,2,0,0,3,3,2,1,3,3,0,1,2,4,4,2,3,1,2,3,3,3,11,28,28,FALSE,FALSE
102,4,0,2,0,0,4,0,3,3,1,2,0,4,2,4,4,1,1,3,4,4,0,2,11,29,29,FALSE,FALSE
103,1,0,2,1,1,2,2,1,0,4,0,2,4,2,3,3,3,4,0,1,2,2,0,11,24,24,FALSE,FALSE
104,3,3,1,2,1,3,2,2,3,0,2,0,1,3,2,3,2,1,4,3,3,2,2,11,26,26,FALSE,FALSE
105,3,0,4,0,3,0,3,0,4,3,1,4,4,0,4,1,4,0,1,3,0,3,1,11,21,21,FALSE,FALSE
106,0,4,1,1,0,1,2,0,3,4,4,2,0,3,3,4,4,1,0,0,1,2,4,11,22,22,FALSE,FALSE
107,2,1,0,4,1,0,1,4,1,1,3,4,3,4,0,3,0,3,3,2,0,1,3,11,22,22,FALSE,FALSE
108,1,4,0,3,3,2,4,1,4,2,1,3,0,4,1,1,3,0,2,1,2,4,1,11,19,19,FALSE,FALSE
109,1,3,0,0,3,4,1,3,4,3,2,3,1,4,4,1,1,0,1,1,4,1,2,11,20,20,FALSE,FALSE
110,0,3,0,2,3,3,1,0,1,1,2,4,1,4,2,1,4,3,3,0,3,1,2,11,24,24,FALSE,FALSE
111,1,1,3,1,1,4,0,2,0,2,0,0,3,1,3,3,2,4,2,1,4,0,0,11,23,23,FALSE,FALSE
112,2,2,4,4,0,1,2,1,1,2,4,2,2,0,0,4,3,3,2,2,1,2,4,11,23,23,FALSE,FALSE
113,1,2,4,0,2,0,4,4,4,3,3,1,2,0,4,2,0,0,1,1,0,4,3,11,17,17,FALSE,FALSE
114,4,3,1,2,3,3,1,1,2,2,0,2,1,3,2,1,3,2,2,4,3,1,0,11,22,22,FALSE,FALSE
115,1,2,2,1,1,1,1,3,0,2,2,3,2,2,3,3,1,4,2,1,1,1,2,11,22,22,FALSE,FALSE
116,4,1,2,1,2,1,1,1,2,3,2,3,3,2,3,2,3,2,1,4,1,1,2,11,24,24,FALSE,FALSE
117,2,3,3,3,1,0,4,4,3,0,3,3,1,1,1,3,0,1,4,2,0,4,3,11,20,20,FALSE,FALSE
118,4,1,2,1,2,3,1,4,3,0,0,1,3,2,3,2,0,1,4,4,3,1,0,11,23,23,FALSE,FALSE
119,1,3,4,0,4,4,2,2,4,0,1,4,1,0,4,0,2,0,4,1,4,2,1,11,19,19,FALSE,FALSE
120,2,1,3,2,2,0,2,3,2,0,2,1,3,1,2,2,1,2,4,2,0,2,2,11,21,21,FALSE,FALSE
121,3,1,3,4,3,3,2,0,1,2,2,0,3,1,0,1,4,3,2,3,3,2,2,11,24,24,FALSE,FALSE
122,3,0,0,0,4,2,3,3,4,1,4,2,4,4,4,0,1,0,3,3,2,3,4,11,28,28,FALSE,FALSE
123,3,4,4,3,3,3,1,3,0,1,2,0,0,0,1,1,1,4,3,3,3,1,2,11,19,19,FALSE,FALSE
124,4,2,1,1,4,1,2,1,2,3,0,1,2,3,3,0,3,2,1,4,1,2,0,11,21,21,FALSE,FALSE
125,1,3,2,2,3,0,3,3,3,1,3,2,1,2,2,1,1,1,3,1,0,3,3,11,18,18,FALSE,FALSE
126,4,4,2,1,4,3,4,1,3,1,0,0,0,2,3,0,3,1,3,4,3,4,0,11,23,23,FALSE,FALSE
127,3,1,2,4,4,1,1,0,0,0,3,3,3,2,0,0,4,4,4,3,1,1,3,11,25,25,FALSE,FALSE
128,4,3,3,4,2,1,0,3,0,2,2,3,1,1,0,2,1,4,2,4,1,0,2,11,18,18,FALSE,FALSE
129,1,0,3,3,2,3,1,3,1,1,3,2,4,1,1,2,1,3,3,1,3,1,3,11,23,23,FALSE,FALSE
130,0,0,3,2,1,3,3,2,1,4,2,1,4,1,2,3,2,3,0,0,3,3,2,11,23,23,FALSE,FALSE
131,4,0,4,1,4,4,4,1,4,4,2,4,4,0,3,0,3,0,0,4,4,4,2,11,24,24,FALSE,FALSE
132,3,0,1,3,3,3,3,2,0,3,3,3,4,3,1,1,2,4,1,3,3,3,3,11,28,28,FALSE,FALSE
133,3,2,4,0,2,0,2,4,3,1,0,4,2,0,4,2,0,1,3,3,0,2,0,11,17,17,FALSE,FALSE
134,3,2,2,2,4,4,4,3,4,0,3,1,2,2,2,0,1,0,4,3,4,4,3,11,25,25,FALSE,FALSE
135,2,3,4,3,3,2,2,0,1,2,0,1,1,0,1,1,4,3,2,2,2,2,0,11,18,18,FALSE,FALSE
136,2,3,4,4,4,4,1,1,4,2,4,0,1,0,0,0,3,0,2,2,4,1,4,11,17,17,FALSE,FALSE
137,0,1,3,2,2,3,0,0,2,4,1,2,3,1,2,2,4,2,0,0,3,0,1,11,18,18,FALSE,FALSE
138,4,0,3,3,2,0,0,0,4,1,3,1,4,1,1,2,4,0,3,4,0,0,3,11,22,22,FALSE,FALSE
139,3,2,2,3,0,0,2,2,2,0,2,0,2,2,1,4,2,2,4,3,0,2,2,11,24,24,FALSE,FALSE
140,2,2,3,3,2,3,2,3,4,2,3,3,2,1,1,2,1,0,2,2,3,2,3,11,19,19,FALSE,FALSE
141,4,4,1,3,1,1,1,1,1,4,0,2,0,3,1,3,3,3,0,4,1,1,0,11,19,19,FALSE,FALSE
142,2,1,3,4,4,3,3,1,0,2,4,3,3,1,0,0,3,4,2,2,3,3,4,11,25,25,FALSE,FALSE
143,4,1,0,0,2,2,4,2,0,1,3,0,3,4,4,2,2,4,3,4,2,4,3,11,35,35,FALSE,FALSE
144,2,0,0,3,1,2,1,0,4,0,0,3,4,4,1,3,4,0,4,2,2,1,0,11,25,25,FALSE,FALSE
145,2,1,3,3,3,1,3,2,1,1,2,2,3,1,1,1,2,3,3,2,1,3,2,11,22,22,FALSE,FALSE
146,4,3,4,4,1,0,3,4,2,4,4,0,1,0,0,3,0,2,0,4,0,3,4,11,17,17,FALSE,FALSE
147,1,2,1,0,3,4,4,4,3,3,2,0,2,3,4,1,0,1,1,1,4,4,2,11,23,23,FALSE,FALSE
148,2,3,3,3,1,4,2,3,1,2,3,3,1,1,1,3,1,3,2,2,4,2,3,11,23,23,FALSE,FALSE
149,2,0,3,0,4,2,1,4,2,2,0,2,4,1,4,0,0,2,2,2,2,1,0,11,18,18,FALSE,FALSE
150,3,2,1,4,1,4,0,2,1,0,4,4,2,3,0,3,2,3,4,3,4,0,4,11,28,28,FALSE,FALSE
151,1,4,4,0,2,0,2,1,0,1,0,4,0,0,4,2,3,4,3,1,0,2,0,11,19,19,FALSE,FALSE
152,1,2,0,1,4,3,3,3,0,2,2,0,2,4,3,0,1,4,2,1,3,3,2,11,25,25,FALSE,FALSE
153,3,4,4,3,2,3,0,3,4,0,0,0,0,0,1,2,1,0,4,3,3,0,0,11,14,14,FALSE,FALSE
154,2,3,4,0,3,3,4,1,4,3,3,1,1,0,4,1,3,0,1,2,3,4,3,11,22,22,FALSE,FALSE
155,3,3,2,2,2,2,0,0,2,1,1,1,1,2,2,2,4,2,3,3,2,0,1,11,22,22,FALSE,FALSE
156,4,1,3,3,1,3,3,1,4,3,1,4,3,1,1,3,3,0,1,4,3,3,1,11,23,23,FALSE,FALSE
157,0,1,1,3,3,3,2,0,4,4,2,1,3,3,1,1,4,0,0,0,3,2,2,11,19,19,FALSE,FALSE
158,4,3,0,1,4,0,1,4,0,3,4,2,1,4,3,0,0,4,1,4,0,1,4,11,22,22,FALSE,FALSE
159,3,3,0,3,3,2,4,2,3,0,4,1,1,4,1,1,2,1,4,3,2,4,4,11,27,27,FALSE,FALSE
160,4,0,3,3,2,1,3,3,2,2,0,0,4,1,1,2,1,2,2,4,1,3,0,11,21,21,FALSE,FALSE
161,1,0,3,1,3,3,1,4,4,4,4,2,4,1,3,1,0,0,0,1,3,1,4,11,18,18,FALSE,FALSE
162,1,3,3,4,1,0,1,4,3,1,0,4,1,1,0,3,0,1,3,1,0,1,0,11,11,11,FALSE,FALSE
163,1,4,1,0,2,4,0,0,4,1,3,4,0,3,4,2,4,0,3,1,4,0,3,11,24,24,FALSE,FALSE
164,0,4,1,0,3,0,0,1,3,4,2,0,0,3,4,1,3,1,0,0,0,0,2,11,14,14,FALSE,FALSE
165,0,2,1,1,1,3,4,1,1,3,1,1,2,3,3,3,3,3,1,0,3,4,1,11,26,26,FALSE,FALSE
166,2,0,0,4,2,4,1,2,0,0,0,2,4,4,0,2,2,4,4,2,4,1,0,11,27,27,FALSE,FALSE
167,1,0,0,4,1,2,3,0,3,2,1,2,4,4,0,3,4,1,2,1,2,3,1,11,25,25,FALSE,FALSE
168,4,2,2,0,3,3,3,4,4,4,4,1,2,2,4,1,0,0,0,4,3,3,4,11,23,23,FALSE,FALSE
169,0,3,2,2,3,1,2,4,0,4,1,3,1,2,2,1,0,4,0,0,1,2,1,11,14,14,FALSE,FALSE
170,1,4,4,0,0,2,1,2,3,1,1,2,0,0,4,4,2,1,3,1,2,1,1,11,19,19,FALSE,FALSE
171,0,1,0,4,1,1,4,2,0,4,3,2,3,4,0,3,2,4,0,0,1,4,3,11,24,24,FALSE,FALSE
172,4,1,2,0,0,0,3,0,3,1,0,1,3,2,4,4,4,1,3,4,0,3,0,11,28,28,FALSE,FALSE
173,4,0,2,1,1,3,3,0,0,0,1,1,4,2,3,3,4,4,4,4,3,3,1,11,35,35,FALSE,FALSE
174,3,3,0,4,1,2,0,4,0,0,0,0,1,4,0,3,0,4,4,3,2,0,0,11,21,21,FALSE,FALSE
175,1,4,4,1,1,3,3,0,0,3,1,4,0,0,3,3,4,4,1,1,3,3,1,11,23,23,FALSE,FALSE
176,1,1,2,2,3,1,0,0,3,0,0,4,3,2,2,1,4,1,4,1,1,0,0,11,19,19,FALSE,FALSE
177,1,0,3,3,1,0,1,4,3,3,2,1,4,1,1,3,0,1,1,1,0,1,2,11,15,15,FALSE,FALSE
178,3,4,4,3,3,1,4,4,1,4,3,4,0,0,1,1,0,3,0,3,1,4,3,11,16,16,FALSE,FALSE
179,0,0,4,3,2,1,4,1,0,1,1,4,4,0,1,2,3,4,3,0,1,4,1,11,23,23,FALSE,FALSE
180,3,3,0,3,2,4,1,1,2,1,4,4,1,4,1,2,3,2,3,3,4,1,4,11,28,28,FALSE,FALSE
181,4,3,4,1,4,0,2,0,0,1,4,0,1,0,3,0,4,4,3,4,0,2,4,11,25,25,FALSE,FALSE
182,1,2,0,2,3,1,3,2,4,4,0,2,2,4,2,1,2,0,0,1,1,3,0,11,16,16,FALSE,FALSE
183,2,2,0,2,2,3,3,3,1,3,1,4,2,4,2,2,1,3,1,2,3,3,1,11,24,24,FALSE,FALSE
184,4,0,0,0,3,0,0,0,4,3,2,3,4,4,4,1,4,0,1,4,0,0,2,11,24,24,FALSE,FALSE
185,0,4,0,0,0,0,3,1,3,2,1,3,0,4,4,4,3,1,2,0,0,3,1,11,22,22,FALSE,FALSE
186,1,3,1,1,4,0,2,2,3,1,3,1,1,3,3,0,2,1,3,1,0,2,3,11,19,19,FALSE,FALSE
187,2,4,3,2,3,4,0,2,4,3,2,0,0,1,2,1,2,0,1,2,4,0,2,11,15,15,FALSE,FALSE
188,3,2,0,0,2,0,1,1,4,1,3,1,2,4,4,2,3,0,3,3,0,1,3,11,25,25,FALSE,FALSE
189,4,1,0,0,4,3,0,4,2,3,4,1,3,4,4,0,0,2,1,4,3,0,4,11,25,25,FALSE,FALSE
190,2,1,2,0,4,3,3,4,3,4,1,3,3,2,4,0,0,1,0,2,3,3,1,11,19,19,FALSE,FALSE
191,3,1,0,2,0,0,4,2,3,3,4,1,3,4,2,4,2,1,1,3,0,4,4,11,28,28,FALSE,FALSE
192,1,2,1,4,0,1,2,2,4,0,2,3,2,3,0,4,2,0,4,1,1,2,2,11,21,21,FALSE,FALSE
193,4,1,2,0,4,2,2,2,3,3,4,3,3,2,4,0,2,1,1,4,2,2,4,11,25,25,FALSE,FALSE
194,3,2,4,2,4,4,3,0,3,2,2,4,2,0,2,0,4,1,2,3,4,3,2,11,23,23,FALSE,FALSE
195,1,1,4,1,4,2,1,0,0,2,2,3,3,0,3,0,4,4,2,1,2,1,2,11,22,22,FALSE,FALSE
196,4,0,2,0,1,3,3,2,4,4,3,0,4,2,4,3,2,0,0,4,3,3,3,11,28,28,FALSE,FALSE
197,0,1,0,2,0,0,1,4,1,4,4,0,3,4,2,4,0,3,0,0,0,1,4,11,21,21,FALSE,FALSE
198,0,2,4,2,0,1,4,3,1,2,1,0,2,0,2,4,1,3,2,0,1,4,1,11,20,20,FALSE,FALSE
199,1,2,1,0,4,2,1,1,1,2,2,0,2,3,4,0,3,3,2,1,2,1,2,11,23,23,FALSE,FALSE
200,3,2,4,4,4,1,0,4,0,4,2,2,2,0,0,0,0,4,0,3,1,0,2,11,12,12,FALSE,FALSE
201,2,0,0,3,2,1,3,2,4,4,1,0,4,4,1,2,2,0,0,2,1,3,1,11,20,20,FALSE,FALSE
202,4,1,0,2,0,3,4,2,2,4,4,3,3,4,2,4,2,2,0,4,3,4,4,11,32,32,FALSE,FALSE
203,0,1,0,2,2,2,4,3,3,3,4,3,3,4,2,2,1,1,1,0,2,4,4,11,24,24,FALSE,FALSE
204,4,3,1,4,4,1,0,1,2,0,4,1,1,3,0,0,3,2,4,4,1,0,4,11,22,22,FALSE,FALSE
205,1,4,2,4,3,1,4,3,2,3,4,1,0,2,0,1,1,2,1,1,1,4,4,11,17,17,FALSE,FALSE
206,2,1,4,0,1,1,2,2,2,1,1,0,3,0,4,3,2,2,3,2,1,2,1,11,23,23,FALSE,FALSE
207,2,0,2,0,3,4,1,0,1,4,4,0,4,2,4,1,4,3,0,2,4,1,4,11,29,29,FALSE,FALSE
208,3,0,0,3,2,0,0,0,4,2,0,1,4,4,1,2,4,0,2,3,0,0,0,11,20,20,FALSE,FALSE
209,0,4,2,2,0,3,2,0,2,4,1,4,0,2,2,4,4,2,0,0,3,2,1,11,20,20,FALSE,FALSE
210,4,0,2,3,0,2,3,1,2,2,3,3,4,2,1,4,3,2,2,4,2,3,3,11,30,30,FALSE,FALSE
