"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11","COST_FT12"
109,1,3,0,0,3,4,1,3,4,3,2,3
110,0,3,0,2,3,3,1,0,1,1,2,4
111,1,1,3,1,1,4,0,2,0,2,0,0
112,2,2,4,4,0,1,2,1,1,2,4,2
113,1,2,4,0,2,0,4,4,4,3,3,1
114,4,3,1,2,3,3,1,1,2,2,0,2
115,1,2,2,1,1,1,1,3,0,2,2,3
116,4,1,2,1,2,1,1,1,2,3,2,3
117,2,3,3,3,1,0,4,4,3,0,3,3
118,4,1,2,1,2,3,1,4,3,0,0,1
119,1,3,4,0,4,4,2,2,4,0,1,4
120,2,1,3,2,2,0,2,3,2,0,2,1
121,3,1,3,4,3,3,2,0,1,2,2,0
122,3,0,0,0,4,2,3,3,4,1,4,2
123,3,4,4,3,3,3,1,3,0,1,2,0
124,4,2,1,1,4,1,2,1,2,3,0,1
125,1,3,2,2,3,0,3,3,3,1,3,2
126,4,4,2,1,4,3,4,1,3,1,0,0
127,3,1,2,4,4,1,1,0,0,0,3,3
128,4,3,3,4,2,1,0,3,0,2,2,3
129,1,0,3,3,2,3,1,3,1,1,3,2
130,0,0,3,2,1,3,3,2,1,4,2,1
131,4,0,4,1,4,4,4,1,4,4,2,4
132,3,0,1,3,3,3,3,2,0,3,3,3
133,3,2,4,0,2,0,2,4,3,1,0,4
134,3,2,2,2,4,4,4,3,4,0,3,1
135,2,3,4,3,3,2,2,0,1,2,0,1
136,2,3,4,4,4,4,1,1,4,2,4,0
137,0,1,3,2,2,3,0,0,2,4,1,2
138,4,0,3,3,2,0,0,0,4,1,3,1
139,3,2,2,3,0,0,2,2,2,0,2,0
140,2,2,3,3,2,3,2,3,4,2,3,3
141,4,4,1,3,1,1,1,1,1,4,0,2
142,2,1,3,4,4,3,3,1,0,2,4,3
143,4,1,0,0,2,2,4,2,0,1,3,0
144,2,0,0,3,1,2,1,0,4,0,0,3
145,2,1,3,3,3,1,3,2,1,1,2,2
146,4,3,4,4,1,0,3,4,2,4,4,0
147,1,2,1,0,3,4,4,4,3,3,2,0
148,2,3,3,3,1,4,2,3,1,2,3,3
149,2,0,3,0,4,2,1,4,2,2,0,2
150,3,2,1,4,1,4,0,2,1,0,4,4
151,1,4,4,0,2,0,2,1,0,1,0,4
152,1,2,0,1,4,3,3,3,0,2,2,0
153,3,4,4,3,2,3,0,3,4,0,0,0
154,2,3,4,0,3,3,4,1,4,3,3,1
155,3,3,2,2,2,2,0,0,2,1,1,1
156,4,1,3,3,1,3,3,1,4,3,1,4
157,0,1,1,3,3,3,2,0,4,4,2,1
158,4,3,0,1,4,0,1,4,0,3,4,2
159,3,3,0,3,3,2,4,2,3,0,4,1
160,4,0,3,3,2,1,3,3,2,2,0,0
161,1,0,3,1,3,3,1,4,4,4,4,2
162,1,3,3,4,1,0,1,4,3,1,0,4
163,1,4,1,0,2,4,0,0,4,1,3,4
164,0,4,1,0,3,0,0,1,3,4,2,0
165,0,2,1,1,1,3,4,1,1,3,1,1
166,2,0,0,4,2,4,1,2,0,0,0,2
167,1,0,0,4,1,2,3,0,3,2,1,2
168,4,2,2,0,3,3,3,4,4,4,4,1
169,0,3,2,2,3,1,2,4,0,4,1,3
170,1,4,4,0,0,2,1,2,3,1,1,2
171,0,1,0,4,1,1,4,2,0,4,3,2
172,4,1,2,0,0,0,3,0,3,1,0,1
173,4,0,2,1,1,3,3,0,0,0,1,1
174,3,3,0,4,1,2,0,4,0,0,0,0
175,1,4,4,1,1,3,3,0,0,3,1,4
176,1,1,2,2,3,1,0,0,3,0,0,4
177,1,0,3,3,1,0,1,4,3,3,2,1
178,3,4,4,3,3,1,4,4,1,4,3,4
179,0,0,4,3,2,1,4,1,0,1,1,4
180,3,3,0,3,2,4,1,1,2,1,4,4
181,4,3,4,1,4,0,2,0,0,1,4,0
182,1,2,0,2,3,1,3,2,4,4,0,2
183,2,2,0,2,2,3,3,3,1,3,1,4
184,4,0,0,0,3,0,0,0,4,3,2,3
185,0,4,0,0,0,0,3,1,3,2,1,3
186,1,3,1,1,4,0,2,2,3,1,3,1
187,2,4,3,2,3,4,0,2,4,3,2,0
188,3,2,0,0,2,0,1,1,4,1,3,1
189,4,1,0,0,4,3,0,4,2,3,4,1
190,2,1,2,0,4,3,3,4,3,4,1,3
191,3,1,0,2,0,0,4,2,3,3,4,1
192,1,2,1,4,0,1,2,2,4,0,2,3
193,4,1,2,0,4,2,2,2,3,3,4,3
194,3,2,4,2,4,4,3,0,3,2,2,4
195,1,1,4,1,4,2,1,0,0,2,2,3
196,4,0,2,0,1,3,3,2,4,4,3,0
197,0,1,0,2,0,0,1,4,1,4,4,0
198,0,2,4,2,0,1,4,3,1,2,1,0
199,1,2,1,0,4,2,1,1,1,2,2,0
200,3,2,4,4,4,1,0,4,0,4,2,2
201,2,0,0,3,2,1,3,2,4,4,1,0
202,4,1,0,2,0,3,4,2,2,4,4,3
203,0,1,0,2,2,2,4,3,3,3,4,3
204,4,3,1,4,4,1,0,1,2,0,4,1
205,1,4,2,4,3,1,4,3,2,3,4,1
206,2,1,4,0,1,1,2,2,2,1,1,0
207,2,0,2,0,3,4,1,0,1,4,4,0
208,3,0,0,3,2,0,0,0,4,2,0,1
209,0,4,2,2,0,3,2,0,2,4,1,4
210,4,0,2,3,0,2,3,1,2,2,3,3
211,2,2,1,0,1,4,3,3,3,0,0,0
212,0,0,0,1,0,3,2,3,3,0,0,0
213,1,4,1,0,0,1,1,2,4,1,3,4
214,1,3,1,4,1,2,3,4,2,2,4,4
215,3,0,2,0,0,3,0,1,1,1,0,0
216,4,0,3,2,4,3,2,2,4,4,4,4
217,2,0,3,2,0,4,0,3,4,0,1,2
218,4,0,1,1,1,2,1,1,2,3,1,3
219,3,3,0,2,1,1,1,2,1,0,0,0
220,3,2,3,2,2,0,1,3,0,2,0,1
221,3,0,1,4,3,1,4,2,2,1,4,4
222,1,1,2,4,1,3,4,1,3,3,3,0
223,1,0,0,3,3,4,0,1,4,4,2,1
224,3,0,3,2,1,1,3,0,3,1,1,3
225,2,4,2,2,2,4,3,0,1,3,0,0
226,3,0,0,0,0,3,0,2,4,4,0,0
227,3,3,3,3,1,4,4,1,4,1,2,1
228,1,0,4,3,4,4,3,1,2,0,1,4
229,0,1,2,2,3,3,4,2,4,1,2,1
230,0,4,0,3,4,1,3,0,2,4,1,0
231,4,0,0,4,3,1,3,4,3,1,1,4
232,4,0,2,1,2,4,0,4,3,4,3,1
233,1,3,4,3,2,4,1,4,3,0,1,3
234,1,1,3,4,0,4,3,1,2,0,4,0
235,1,1,3,2,3,4,3,0,4,3,4,0
236,0,1,2,4,3,1,2,2,0,0,2,1
237,0,3,4,3,3,4,0,1,2,3,4,0
238,0,1,1,1,2,3,3,4,0,4,4,1
239,2,3,1,4,4,2,1,3,0,1,3,2
240,1,3,4,0,1,0,2,3,0,3,0,0
241,3,4,2,0,3,3,2,2,1,4,1,4
242,2,3,3,3,4,2,0,4,2,0,0,2
243,0,3,1,2,3,0,2,1,0,0,2,2
244,2,1,4,2,4,3,1,4,1,0,0,0
245,4,1,4,4,1,0,3,2,1,1,2,2
246,1,1,1,2,2,1,2,2,0,0,1,0
247,3,1,2,0,4,3,0,0,3,4,4,2
248,1,1,0,0,1,0,0,1,2,0,3,4
249,1,2,3,2,4,2,1,2,1,1,2,3
250,0,3,0,4,2,0,4,1,0,0,0,2
251,2,4,0,2,1,4,2,4,2,1,4,4
252,2,3,2,0,0,1,1,0,1,3,4,2
253,0,4,1,0,0,2,4,3,1,2,3,4
254,0,3,2,3,2,2,2,2,4,4,3,3
255,2,4,4,1,1,3,4,3,4,0,1,1
256,2,2,0,1,3,2,0,4,3,1,0,3
257,3,4,4,0,3,2,4,2,0,2,3,4
258,4,0,3,4,1,1,3,0,0,2,2,2
259,1,2,4,0,1,2,0,4,1,1,4,3
260,3,3,4,1,2,0,1,3,3,0,2,2
261,1,1,3,0,3,3,4,1,4,2,2,3
262,0,4,4,2,2,2,3,1,0,2,2,2
263,2,0,3,3,0,4,4,0,4,1,0,1
264,0,4,3,1,3,3,0,4,3,4,3,1
265,0,0,2,0,0,2,1,0,0,3,3,2
266,4,3,1,0,3,0,4,4,3,2,0,3
267,1,2,4,4,1,1,2,0,2,4,1,1
268,1,0,0,1,1,2,4,0,1,3,3,4
269,3,4,4,0,0,1,0,2,1,3,3,3
270,1,1,3,3,1,1,2,2,3,2,1,2
271,0,4,1,1,1,1,3,1,2,2,2,3
272,1,3,2,2,1,4,3,3,2,1,3,1
273,0,2,2,4,4,4,2,1,3,3,1,3
274,4,3,3,3,2,4,3,4,0,3,1,1
275,1,3,1,4,4,1,1,2,1,3,4,4
276,3,2,4,1,2,4,2,0,2,0,2,0
277,0,1,1,4,1,3,3,1,2,3,0,1
278,4,2,2,0,0,2,3,0,3,2,4,1
279,0,1,2,1,1,4,3,4,3,1,0,1
280,1,0,3,0,1,4,4,3,0,2,3,0
281,4,1,1,2,2,0,1,0,2,4,3,3
282,0,1,3,4,0,0,3,4,1,4,0,0
283,1,2,1,2,4,2,1,4,1,4,1,2
284,3,4,3,2,4,4,4,0,3,3,0,4
285,1,0,4,0,1,3,1,0,0,1,3,0
286,3,2,4,2,3,1,0,0,1,0,1,1
287,1,2,0,1,0,2,0,4,1,0,2,3
288,4,2,1,1,2,1,0,1,0,0,4,4
289,0,3,3,4,4,1,1,1,1,3,2,2
290,1,2,3,0,0,2,4,1,1,1,0,0
291,0,1,0,4,4,1,0,1,2,3,2,3
292,1,0,2,1,3,3,2,3,0,3,1,0
293,4,2,4,0,4,0,0,0,0,2,1,4
294,3,0,4,0,2,2,2,3,1,3,3,2
295,1,3,3,0,2,2,4,4,0,2,1,4
296,0,2,0,0,1,0,3,2,3,0,2,2
297,0,2,2,4,3,2,1,1,2,3,1,1
298,3,1,1,4,0,3,2,2,3,4,2,4
299,1,1,0,4,2,3,1,4,0,2,3,4
300,3,4,1,0,0,3,3,2,1,2,2,0
301,2,2,2,2,4,3,3,1,3,1,2,4
302,1,4,0,1,4,1,1,2,3,3,1,1
303,2,0,3,2,0,1,1,4,1,4,4,1
304,2,2,0,4,1,3,0,4,2,0,2,3
305,4,0,4,4,4,1,0,4,0,3,3,0
306,3,0,1,2,3,0,3,3,3,2,1,1
307,0,2,1,3,3,1,3,4,0,3,1,4
308,1,0,2,1,1,4,1,3,3,4,1,4
309,1,1,1,0,1,0,4,1,4,2,0,3
310,4,4,4,4,0,2,4,1,4,0,4,0
311,2,4,2,4,3,3,1,4,3,2,1,1
312,0,4,3,0,1,1,0,1,1,1,2,1
313,0,0,0,0,0,2,0,0,4,0,0,2
314,2,0,2,4,2,0,1,4,4,3,2,0
315,1,2,3,1,4,1,4,3,1,1,2,4
316,1,1,1,1,4,1,0,2,1,0,0,2
317,4,4,2,2,0,0,2,1,4,4,0,3
318,3,1,4,0,0,1,2,4,2,3,3,0
319,3,4,1,4,1,1,1,2,2,2,1,1
320,2,4,4,3,2,2,1,3,3,4,0,3
321,4,1,0,4,0,0,0,1,0,3,2,0
322,1,3,1,2,3,0,3,3,2,1,3,4
323,3,1,1,0,0,4,2,0,0,2,0,4
324,2,4,2,1,0,4,2,3,4,2,2,1
325,1,3,3,3,1,0,3,2,1,4,1,0
326,3,3,3,0,1,3,3,2,1,3,0,3
327,3,1,0,3,1,1,0,2,1,3,2,1
328,2,4,2,3,4,0,3,0,1,0,1,1
329,3,2,1,0,3,0,1,3,1,3,0,2
330,4,4,1,2,3,2,4,0,2,1,1,4
331,2,4,0,0,0,3,1,3,0,1,1,1
332,1,4,4,1,3,3,2,2,4,0,1,3
333,1,3,2,1,3,1,0,4,0,2,2,3
334,4,4,2,0,3,0,3,1,4,3,3,0
335,4,1,1,2,3,1,3,2,4,1,0,1
336,1,1,2,1,1,4,0,3,0,3,1,2
337,0,4,3,2,1,4,2,2,1,3,0,0
338,3,1,3,0,1,1,2,0,3,2,0,3
339,0,3,0,0,2,4,3,3,2,3,4,4
340,3,3,0,4,0,4,4,1,2,0,0,0
341,0,4,4,1,1,3,4,1,4,4,3,1
342,4,0,0,4,4,1,2,3,3,0,2,4
343,4,1,4,0,3,0,3,3,0,4,0,2
344,1,2,4,4,1,0,3,4,0,4,1,2
345,4,0,2,1,4,1,0,1,1,2,4,0
346,3,0,2,3,0,1,4,2,4,3,0,4
347,1,1,3,1,3,4,3,3,4,3,0,3
348,1,2,4,2,3,0,3,0,4,4,1,4
349,2,4,0,3,3,1,3,4,4,0,3,3
350,4,0,4,1,3,1,0,2,0,0,0,3
351,1,4,0,3,1,1,0,1,2,0,3,3
352,3,2,2,3,4,2,0,0,0,1,0,3
353,4,2,3,0,0,4,0,2,4,3,2,4
354,0,0,2,4,0,2,1,0,0,3,4,1
355,2,2,4,4,2,0,1,4,1,0,1,1
356,4,0,3,1,2,0,2,0,1,3,4,4
357,4,0,2,2,3,2,1,0,2,4,0,4
358,4,3,2,4,2,0,0,3,0,0,0,2
359,4,3,3,0,4,2,0,4,4,0,4,3
360,3,0,4,2,1,1,3,3,2,4,4,1
361,0,0,3,2,3,3,2,4,1,1,0,4
362,0,2,0,3,2,1,4,2,3,4,3,2
363,1,1,4,4,2,1,3,2,1,4,2,1
364,1,3,0,2,3,4,2,3,0,0,0,4
365,2,0,2,2,3,0,3,0,1,4,3,1
366,4,0,4,3,0,1,0,4,3,4,0,3
367,3,2,0,2,0,3,2,0,4,2,1,0
368,1,0,3,2,4,1,2,2,1,0,3,1
369,0,3,1,4,2,1,2,4,0,3,1,1
370,0,1,0,4,0,3,0,0,0,0,4,3
371,0,4,2,0,0,2,2,1,1,3,0,0
372,0,3,4,2,1,4,2,2,0,2,4,0
373,4,1,2,4,0,1,3,3,0,1,4,2
374,1,2,4,3,2,2,3,4,3,3,2,0
375,3,0,2,3,4,4,3,4,1,3,0,3
376,1,3,1,3,4,3,3,0,1,0,3,3
377,3,2,2,3,4,1,0,4,0,1,2,2
378,1,2,4,1,1,3,1,4,2,1,2,4
379,4,0,4,2,3,3,3,4,0,3,1,0
380,1,0,0,0,0,0,0,3,0,2,2,2
381,0,0,2,3,4,3,1,0,3,0,2,3
382,2,4,0,1,2,0,4,0,4,2,0,3
383,1,2,4,0,0,4,2,3,1,2,0,2
384,1,1,2,3,0,0,0,0,2,3,4,0
385,2,3,3,4,1,3,3,4,4,0,4,1
386,0,0,0,1,4,0,4,0,4,0,0,2
387,0,3,2,4,0,2,3,3,3,3,0,2
388,1,3,3,1,0,4,0,2,2,4,2,1
389,3,1,3,1,2,1,4,2,0,1,1,4
390,0,3,3,2,4,2,4,0,4,2,2,3
391,3,0,1,4,0,0,0,3,0,1,3,2
392,3,4,4,2,4,4,3,4,2,1,3,3
393,0,4,1,3,1,1,1,1,0,2,2,2
394,2,1,3,2,0,2,1,3,1,3,2,0
395,0,2,1,4,1,0,4,3,2,2,0,3
396,0,1,2,0,3,1,2,1,4,0,4,2
397,0,1,2,1,3,0,1,4,4,2,4,1
398,1,0,3,2,0,0,2,3,4,1,0,2
399,1,0,1,4,1,3,4,1,1,0,2,2
400,3,4,3,0,4,1,0,2,2,2,2,1
401,2,4,2,0,2,2,1,1,3,4,3,3
402,2,3,3,1,2,4,2,4,0,2,3,4
403,1,0,2,2,1,2,3,0,2,4,3,3
404,3,4,4,4,0,3,4,4,3,2,2,1
405,2,4,4,1,0,1,3,2,3,3,0,3
406,2,1,3,0,3,0,4,3,0,0,1,1
407,1,0,2,3,3,3,4,2,1,3,0,2
408,0,2,0,0,2,4,4,4,4,4,0,1
409,1,1,0,1,2,0,1,3,1,3,4,2
410,0,3,1,3,0,2,0,2,4,0,2,3
411,4,3,1,3,4,3,1,4,4,1,4,1
412,0,1,4,3,3,3,0,3,1,1,1,3
413,4,2,0,1,4,2,4,2,3,1,4,2
414,0,3,4,4,4,1,2,2,0,3,0,1
415,1,1,1,4,0,3,1,1,1,4,4,0
416,4,0,4,0,4,1,0,3,2,4,1,3
417,1,3,1,1,4,3,0,1,4,0,4,1
418,4,4,3,2,2,3,0,0,2,1,3,2
419,0,1,4,0,4,1,0,1,2,1,1,3
420,3,4,0,4,3,4,2,0,2,3,0,3
421,2,3,2,0,0,0,4,4,3,2,0,0
422,1,1,2,2,4,1,4,2,4,0,1,0
423,4,2,2,0,0,2,2,2,0,2,1,1
424,4,4,0,2,1,4,4,0,4,0,0,0
425,3,2,4,2,1,1,3,1,1,4,1,2
426,1,2,3,1,2,4,3,4,2,4,0,1
427,4,1,1,0,3,1,3,2,4,4,0,1
428,3,3,0,0,2,0,1,1,2,1,2,2
429,3,3,0,4,4,4,3,2,2,0,3,4
430,0,2,4,0,2,4,2,3,2,1,1,4
431,3,3,3,0,3,2,4,0,2,0,4,4
432,3,4,1,2,0,4,2,0,0,1,1,3
433,2,4,1,4,2,1,0,2,3,3,1,2
434,0,1,4,2,3,2,0,1,3,2,0,0
435,1,2,1,4,3,2,1,2,0,0,4,4
436,0,1,2,4,4,0,2,4,2,3,3,1
437,3,2,2,4,4,3,4,0,2,0,3,0
438,0,1,4,1,1,0,2,2,0,3,0,4
439,4,2,2,4,3,4,3,2,1,0,4,3
440,1,0,0,0,4,2,2,1,1,1,1,0
441,1,4,1,1,4,1,0,4,1,2,2,3
442,3,2,0,0,1,4,4,1,3,4,3,3
443,4,1,2,0,4,4,4,3,1,0,1,4
444,4,2,2,3,4,3,0,0,4,2,1,0
445,2,4,3,0,0,1,1,1,3,3,0,1
446,1,2,3,0,2,4,1,3,1,2,3,3
447,4,2,4,4,1,2,0,1,0,0,1,3
448,4,1,0,2,3,1,0,0,0,1,0,2
449,3,2,3,2,2,4,0,2,2,0,1,0
450,1,1,0,2,0,1,4,1,0,4,0,2
451,3,2,4,4,4,1,2,0,3,0,3,1
452,0,1,4,1,1,2,3,2,4,3,0,4
453,4,1,2,1,3,0,4,4,1,2,1,1
454,2,1,2,4,1,3,1,0,3,0,1,2
455,0,4,3,3,4,0,4,4,2,3,0,0
456,1,4,3,0,4,3,1,3,4,2,4,0
457,2,2,4,1,0,0,0,2,2,4,1,1
458,3,4,4,2,1,2,2,4,4,0,0,1
459,4,0,3,2,2,3,0,1,0,4,3,4
460,2,4,3,3,4,4,2,3,4,2,4,1
461,0,3,2,4,4,4,4,0,4,4,3,3
462,1,1,2,2,4,1,4,2,2,4,1,3
463,4,2,2,3,4,3,2,4,4,2,0,4
464,0,4,4,1,1,3,0,4,4,3,0,0
465,4,4,1,0,2,2,4,0,0,4,0,0
466,1,3,1,1,3,0,3,1,4,3,4,1
467,2,3,4,3,4,3,2,3,3,2,3,2
468,2,1,4,1,2,0,1,2,1,2,0,4
469,3,3,4,2,1,4,1,1,4,0,1,4
470,3,3,0,4,3,2,2,0,3,3,1,0
471,4,4,4,2,0,0,4,1,1,1,3,0
472,1,3,3,3,1,3,4,3,2,4,0,1
473,0,0,4,1,3,0,1,3,0,0,4,4
474,3,3,4,4,3,0,4,1,0,0,2,2
475,0,2,1,0,0,0,2,3,3,1,2,1
476,3,4,3,4,2,0,2,2,4,0,2,2
477,3,1,0,0,2,4,2,3,2,1,0,4
478,4,1,2,2,1,0,4,0,0,4,0,3
479,0,2,2,1,0,1,3,0,0,3,0,2
480,3,3,1,0,0,1,1,3,2,2,0,3
481,3,2,1,4,0,2,0,1,1,0,1,1
482,4,4,0,4,3,4,2,2,4,4,3,0
483,4,1,3,4,1,3,3,1,3,1,3,3
484,1,0,1,4,3,0,0,2,1,0,3,1
485,1,3,3,3,2,2,4,2,0,2,0,0
486,2,0,0,3,1,1,0,1,3,1,3,1
487,2,3,0,4,4,3,4,2,4,3,0,4
488,0,3,1,1,1,2,2,1,3,1,2,1
489,3,0,4,1,0,1,2,0,4,2,3,2
490,3,0,4,0,1,2,2,4,2,1,2,3
491,4,0,4,3,1,3,1,3,3,4,2,3
492,0,1,1,1,4,4,3,2,0,4,2,2
493,4,3,4,0,1,4,0,3,2,2,1,3
494,4,4,4,0,4,0,0,4,2,1,0,1
495,4,1,3,1,1,0,4,4,3,3,2,1
496,2,2,0,0,4,4,1,1,0,1,4,2
497,3,2,1,0,4,2,2,1,0,0,3,3
498,2,3,1,1,2,3,3,0,0,4,1,1
499,1,2,1,2,1,3,2,1,3,0,0,3
500,1,2,2,4,0,2,0,2,3,3,0,0
