"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11"
174,2,3,1,0,1,3,2,2,2,1,2
175,2,1,2,2,0,1,2,3,3,2,2
176,2,2,2,1,3,2,0,2,2,2,2
177,0,2,1,1,1,0,1,0,1,2,0
178,2,2,3,2,3,3,1,3,4,4,1
179,3,3,4,4,4,2,4,4,4,4,3
180,0,4,3,2,4,0,0,3,2,2,2
181,3,0,0,0,2,1,2,2,2,1,2
182,4,4,4,3,3,2,3,4,4,4,4
183,2,4,3,4,2,1,2,2,3,4,1
184,3,2,4,1,2,2,4,3,3,2,2
185,1,3,3,4,2,1,2,3,3,3,2
186,3,4,2,1,2,4,2,4,3,4,1
187,1,4,4,4,4,2,2,4,4,4,1
188,3,3,4,4,4,2,1,3,3,3,1
189,0,2,3,2,2,2,2,3,2,3,1
190,1,1,3,3,0,0,1,2,1,3,0
191,4,0,0,1,1,4,4,3,1,0,4
192,1,1,2,0,1,1,2,2,1,3,1
193,3,4,4,4,4,4,4,4,4,4,3
194,1,3,3,4,3,0,0,4,3,3,0
195,2,1,1,1,1,1,2,2,2,2,1
196,3,4,2,4,4,2,4,3,4,4,4
197,3,1,1,2,1,2,1,0,2,3,2
198,2,0,0,0,0,1,2,0,0,0,1
199,0,2,0,1,1,2,1,1,2,3,1
200,2,3,2,3,2,2,1,1,2,3,2
201,1,1,0,0,2,2,1,0,1,2,0
202,3,3,3,4,3,3,1,1,4,4,0
203,1,1,1,0,1,2,1,1,2,1,2
204,0,0,0,1,2,1,0,0,1,0,2
205,1,1,2,2,2,0,0,2,2,3,2
206,4,4,3,2,3,4,4,4,2,3,4
207,1,2,2,3,2,0,1,2,3,3,0
208,2,0,1,0,2,2,2,3,1,2,0
209,4,1,1,1,0,3,4,2,1,0,3
210,4,3,4,3,2,4,4,4,3,3,4
211,0,4,1,4,2,0,0,2,1,2,0
212,4,2,1,1,2,4,2,4,1,1,4
213,0,3,2,3,2,0,1,1,3,3,0
214,2,3,3,2,3,1,0,2,3,2,0
215,1,2,3,2,1,0,2,1,2,2,1
216,3,2,2,4,3,2,2,4,3,4,3
217,4,3,1,2,2,4,4,4,2,3,3
218,4,0,2,1,1,3,4,4,2,2,4
219,2,2,2,4,3,4,2,3,3,4,2
220,3,3,4,4,4,4,4,4,4,4,4
221,0,3,3,3,4,0,0,1,3,2,1
222,0,1,0,0,0,1,0,0,0,2,0
223,1,2,2,2,2,1,3,1,2,0,2
224,1,1,3,2,1,0,0,1,0,3,0
225,1,3,2,2,2,3,1,2,3,2,0
226,3,2,3,1,2,4,2,3,4,3,2
227,1,3,1,2,1,1,2,1,3,2,3
228,1,2,0,3,0,1,1,1,1,1,1
229,4,4,2,2,2,3,3,1,1,1,4
230,2,1,2,3,2,3,2,4,2,2,3
231,2,0,1,1,2,2,2,2,1,1,2
232,2,2,1,1,1,4,3,1,2,3,4
233,2,3,4,3,4,2,2,2,3,2,1
234,1,3,3,3,3,1,4,3,2,2,1
235,1,2,3,3,1,2,2,2,2,2,2
236,3,3,2,4,3,2,1,2,3,3,1
237,0,1,0,0,0,0,0,0,1,0,0
238,1,2,3,3,4,1,1,3,3,3,3
239,2,2,1,3,1,2,3,3,2,2,2
240,4,4,4,4,4,3,2,4,4,4,4
241,3,2,1,2,3,2,2,2,2,1,4
242,2,1,3,3,1,2,3,2,2,1,3
243,4,4,4,3,3,2,2,3,3,4,2
244,3,3,3,1,3,4,4,2,4,2,4
245,3,2,2,2,2,3,3,1,1,1,3
246,0,1,3,4,3,1,3,3,2,3,1
247,2,4,2,4,2,1,3,1,3,2,3
248,0,2,1,1,2,0,1,0,2,0,0
249,3,1,2,3,4,3,2,4,3,2,3
250,3,2,3,2,2,1,3,0,2,3,0
251,3,2,3,0,1,2,3,1,2,0,2
252,4,3,2,3,3,3,3,3,1,3,3
253,2,2,2,2,2,0,2,3,2,2,2
254,1,3,3,2,3,1,0,1,4,2,1
255,2,4,4,2,3,2,4,4,4,4,3
256,1,1,1,3,4,2,2,0,0,2,0
257,1,1,2,1,3,1,1,1,1,3,2
258,4,4,4,3,2,3,3,4,3,2,4
259,3,1,0,0,0,2,3,2,0,0,3
260,1,1,0,1,0,2,2,2,3,1,1
261,2,0,2,1,2,2,2,3,1,3,2
262,3,2,1,2,0,4,4,3,0,1,4
263,3,3,2,1,1,2,1,1,1,1,1
264,2,3,2,3,2,0,1,2,2,3,1
265,2,1,1,3,1,2,3,2,2,2,3
266,3,1,1,2,0,2,0,0,2,0,1
267,2,3,3,2,4,1,0,3,3,3,1
268,3,4,3,4,3,4,2,4,4,3,4
269,4,2,1,1,3,4,4,3,2,1,3
270,1,0,0,3,1,2,2,1,0,0,2
271,1,4,4,3,4,0,1,2,4,4,1
272,1,3,3,1,3,2,1,1,2,3,0
273,2,2,2,3,1,0,0,2,0,2,1
274,4,3,2,3,1,4,2,2,2,2,4
275,4,3,1,2,2,4,3,3,2,0,4
276,4,2,1,3,2,4,3,4,0,1,2
277,3,0,1,1,2,3,3,3,2,2,4
278,3,1,2,0,2,1,0,1,0,1,2
279,0,3,2,3,2,1,2,1,2,4,0
280,0,2,0,0,1,1,0,0,2,1,1
281,3,1,2,4,3,3,3,2,3,1,3
282,3,3,2,1,3,4,3,3,2,3,4
283,1,0,0,0,0,0,2,1,0,0,2
284,2,2,2,1,1,4,3,3,2,0,3
285,4,3,3,3,2,4,4,3,4,1,3
286,1,3,2,2,4,0,0,1,2,2,1
287,2,2,1,2,0,1,3,2,2,1,3
288,1,2,1,2,1,0,0,1,2,1,1
289,3,4,3,1,3,4,4,4,4,3,3
290,3,1,2,2,0,2,2,2,3,1,2
291,4,2,2,2,2,3,4,2,0,2,3
292,2,0,2,4,1,3,1,2,1,2,1
293,4,4,2,2,3,4,4,4,2,3,3
294,2,3,1,2,2,3,3,1,2,4,2
295,3,1,3,3,3,2,2,2,1,1,1
296,3,3,2,3,4,3,4,3,4,3,4
297,1,2,1,2,3,1,2,0,3,2,0
298,2,2,0,0,1,2,2,1,2,0,0
299,1,3,2,3,4,2,1,0,3,4,1
300,0,1,1,2,1,0,1,2,2,1,1
301,2,0,1,0,1,4,2,2,0,0,4
302,3,0,1,1,2,3,2,2,1,2,2
303,0,2,2,3,2,0,0,2,3,4,0
304,2,2,3,3,4,2,4,4,4,2,3
305,0,1,1,0,4,1,1,0,1,1,3
306,1,3,1,1,0,1,1,2,0,2,1
307,2,0,0,0,0,3,1,0,0,2,2
308,4,2,2,1,3,4,2,4,3,4,4
309,2,3,4,4,3,3,1,2,3,2,2
310,4,4,3,2,3,2,4,3,1,2,4
311,1,0,0,0,0,0,1,0,0,0,0
312,2,1,1,0,1,2,4,1,0,1,2
313,2,4,4,4,4,2,2,3,3,4,2
314,3,4,4,4,3,3,3,3,2,3,3
315,1,0,0,0,0,0,0,0,0,0,1
316,0,0,1,0,0,0,0,0,0,0,0
317,2,0,0,0,0,3,2,1,0,0,2
318,0,1,0,1,1,0,1,0,2,0,0
319,2,2,3,2,2,2,3,1,3,3,2
320,3,3,3,2,1,1,2,1,2,3,4
321,1,2,4,3,4,4,4,4,4,2,4
322,3,1,0,0,1,4,4,0,1,2,4
323,2,2,2,0,2,2,3,2,2,1,4
324,4,2,0,3,1,4,4,4,3,2,4
325,1,4,4,4,4,1,2,3,3,4,3
326,4,3,1,3,3,4,3,2,2,3,4
327,4,1,0,1,1,4,3,3,1,2,4
328,0,2,1,2,1,0,2,2,2,2,0
329,2,3,2,4,2,3,4,3,3,4,2
330,4,1,0,1,2,4,4,1,1,1,4
331,0,0,0,0,0,0,2,0,0,1,0
332,3,0,1,1,2,4,1,1,2,1,2
333,1,2,2,0,2,1,0,1,2,3,1
334,0,3,3,2,2,0,0,1,1,3,0
335,3,1,0,1,1,0,1,1,1,1,3
336,1,3,4,4,2,2,2,1,4,4,1
337,2,4,3,3,3,0,0,1,2,2,1
338,1,1,1,2,0,1,4,0,0,1,1
339,2,3,3,4,3,3,1,3,2,3,4
340,3,3,3,2,2,2,2,2,4,4,3
341,4,3,2,1,1,3,4,2,1,1,3
342,3,3,3,3,2,0,2,1,3,3,3
343,3,3,3,4,4,3,1,3,2,1,4
344,2,1,4,3,2,2,1,1,2,2,1
345,2,1,0,1,1,0,2,1,1,2,3
346,4,4,2,2,2,4,4,2,1,2,4
347,2,3,2,1,2,2,3,3,2,4,3
348,4,3,2,2,3,2,3,2,3,4,3
349,1,1,1,2,0,4,3,2,1,1,4
350,4,2,3,0,1,2,3,3,2,1,4
351,3,3,3,2,4,4,4,4,3,2,4
352,2,4,1,0,2,0,4,2,2,0,1
353,4,4,3,2,3,3,4,4,2,4,4
354,1,3,2,3,2,0,1,1,4,4,0
355,3,0,0,0,0,2,2,1,0,0,0
356,3,2,0,2,0,2,4,1,1,1,3
357,1,3,3,4,2,1,3,3,2,3,2
358,1,1,1,1,1,0,1,1,4,0,0
359,3,3,0,0,0,3,2,1,1,0,0
360,0,3,3,1,4,0,2,0,2,2,0
361,4,2,4,4,2,4,3,2,3,3,2
362,0,0,0,0,0,1,2,0,0,0,1
363,1,0,0,0,0,1,0,0,1,0,1
364,1,0,0,0,0,2,2,0,0,0,0
365,3,4,4,2,2,2,4,4,3,3,3
366,4,1,2,2,2,4,4,3,1,2,4
367,2,0,1,2,3,2,2,0,0,2,1
368,3,2,1,1,1,2,4,3,0,1,3
369,2,4,2,2,2,4,4,3,1,4,3
370,3,2,2,4,3,3,1,4,2,2,3
371,0,2,2,3,3,2,2,3,4,4,1
372,3,3,1,2,3,3,2,3,3,2,4
373,2,2,2,2,4,2,2,1,2,3,3
374,2,0,0,0,0,3,2,0,2,0,2
375,4,4,4,4,4,4,3,4,4,4,3
376,2,3,2,2,4,2,2,2,2,3,2
377,3,4,4,2,3,1,2,3,2,4,1
378,3,0,0,1,0,0,2,0,0,0,2
379,1,1,3,3,1,0,1,1,1,2,1
380,4,4,2,3,2,4,4,2,2,4,3
381,1,4,2,1,2,3,4,2,4,1,1
382,3,3,1,1,3,2,3,2,2,3,2
383,1,1,2,0,0,1,3,1,2,2,0
384,1,1,2,2,2,2,4,3,1,1,3
385,1,2,2,1,2,1,2,1,1,2,3
386,1,0,1,0,1,0,0,0,2,0,1
387,4,1,2,3,2,2,2,2,3,2,2
388,2,0,0,3,0,2,3,3,3,2,2
389,0,2,1,2,2,0,0,0,1,3,1
390,3,0,2,2,2,3,4,2,1,2,4
391,2,0,0,0,1,0,1,0,0,0,0
392,3,4,4,4,3,4,4,4,4,4,3
393,0,0,0,2,0,0,0,0,1,2,0
394,1,1,3,2,2,2,3,4,3,4,1
395,0,2,1,2,2,1,2,2,2,2,3
396,0,0,2,1,4,1,2,0,1,1,0
397,0,4,3,3,4,1,1,3,4,3,1
398,4,2,0,1,2,1,3,0,1,0,3
399,4,2,4,4,4,2,3,3,3,2,3
400,0,2,1,2,2,0,0,1,2,1,1
401,3,4,4,2,4,3,1,4,4,3,1
402,4,2,0,1,0,4,4,2,1,1,3
403,2,0,1,0,0,2,1,0,2,0,2
404,2,3,2,2,2,0,0,2,2,3,1
405,0,2,1,1,2,1,0,0,2,2,0
406,0,0,0,2,0,1,0,0,1,0,0
407,4,2,4,4,2,4,4,3,3,3,4
408,2,4,3,3,4,4,4,3,3,2,4
409,1,2,3,2,2,2,1,3,4,4,1
410,3,0,0,1,0,3,2,0,0,0,2
411,3,2,3,2,3,3,3,3,2,2,3
412,1,2,1,0,1,0,1,1,3,0,1
413,3,3,3,2,3,4,4,2,3,2,3
414,3,2,3,4,4,3,2,2,3,3,2
415,2,3,4,2,3,2,3,2,4,4,1
416,2,1,2,2,2,3,3,2,2,3,1
417,1,3,3,1,4,3,2,4,4,2,4
418,4,4,4,4,1,4,3,4,2,2,4
419,1,3,2,3,3,2,3,2,4,2,3
420,2,1,2,1,2,3,1,2,0,2,1
421,2,4,4,3,3,2,2,4,3,2,4
422,2,2,0,2,1,3,1,3,2,1,2
423,2,4,4,4,4,0,2,3,4,4,3
424,0,1,0,2,4,0,0,1,0,1,0
425,2,1,1,1,2,2,2,4,3,2,1
426,4,2,2,3,3,2,4,3,3,4,3
427,3,0,0,1,1,3,1,1,1,1,1
428,2,0,0,0,0,0,0,0,0,0,1
429,3,3,2,1,1,2,4,2,2,1,3
430,1,3,3,1,2,0,1,2,2,2,0
431,3,3,2,0,0,3,1,2,0,0,2
432,3,3,3,2,4,1,3,3,2,2,2
433,3,4,4,4,4,2,2,4,4,4,3
434,3,1,3,2,3,2,1,2,2,3,4
435,4,1,2,3,2,3,2,3,2,2,4
436,0,1,0,0,0,1,0,0,0,0,0
437,3,3,0,2,0,4,3,3,1,0,4
438,1,0,0,0,0,1,2,0,0,0,0
439,0,2,1,1,1,0,0,0,2,0,0
440,3,4,4,4,3,3,4,3,2,4,4
441,4,2,2,1,2,3,3,2,2,1,4
442,3,3,4,3,4,2,3,2,3,3,2
443,0,3,1,2,2,2,1,1,2,3,1
444,0,0,0,0,0,1,2,1,0,0,2
445,2,0,4,2,2,3,3,4,2,2,3
446,1,2,2,1,3,1,0,1,0,0,1
447,4,4,4,3,4,4,4,4,4,4,4
448,3,4,3,2,4,3,0,2,0,2,2
449,2,3,3,3,3,2,2,3,4,2,3
450,0,1,0,1,1,0,0,0,0,0,1
451,2,4,4,4,4,0,1,2,4,4,0
452,4,3,2,2,1,3,3,4,2,4,4
453,3,1,1,1,2,4,4,2,1,2,4
454,3,2,1,1,2,1,4,2,0,1,2
455,4,4,2,3,4,4,2,4,3,3,4
456,4,4,4,3,4,3,2,2,4,2,2
457,3,1,3,0,1,3,3,2,2,3,4
458,4,2,3,2,2,4,4,1,2,3,4
459,2,0,3,2,3,4,2,1,2,1,3
460,3,4,4,4,4,4,3,4,4,4,3
461,2,2,4,3,2,4,2,2,2,4,3
462,4,3,2,4,3,2,3,3,2,2,4
463,4,2,2,3,3,3,4,2,1,3,4
464,0,4,3,3,4,1,0,1,4,4,1
465,3,2,3,4,3,4,1,3,3,4,3
466,1,3,3,4,3,2,4,3,4,3,2
467,0,0,2,2,0,1,0,0,0,1,0
468,0,1,1,0,1,1,2,2,0,1,2
469,4,4,4,2,4,4,4,4,4,4,3
470,4,4,4,4,4,4,3,4,4,4,4
471,3,2,2,4,1,4,1,2,2,2,1
472,1,0,0,0,1,0,0,0,0,0,0
473,0,1,2,3,2,0,0,2,1,2,2
474,1,1,0,0,0,1,1,0,0,0,1
475,0,1,1,2,3,0,1,1,2,0,0
476,3,3,2,1,2,3,3,4,3,3,2
477,1,2,2,2,1,4,1,1,4,3,2
478,4,1,4,4,1,4,3,4,3,4,3
479,0,2,1,3,0,0,0,0,1,3,0
480,1,2,1,2,2,0,3,1,1,1,2
481,3,2,1,3,3,2,3,3,2,3,4
482,4,1,2,2,4,3,4,4,2,3,4
483,3,3,1,2,2,1,2,1,1,1,4
484,1,2,2,0,1,0,1,2,1,0,3
485,4,4,4,3,3,4,3,3,2,3,4
486,4,3,3,4,3,3,3,3,4,4,4
487,4,2,3,2,2,4,4,2,2,3,4
488,2,4,3,2,4,2,2,3,3,2,2
489,1,1,2,3,1,1,0,1,1,3,2
490,1,0,0,1,0,0,1,0,1,1,1
491,2,2,4,4,4,4,4,4,4,4,2
492,2,3,4,3,3,1,2,3,3,3,1
493,0,3,2,1,3,2,0,2,3,4,0
494,3,4,4,4,4,2,4,4,3,1,2
495,1,3,3,2,2,1,2,1,2,2,1
496,4,2,1,1,2,1,3,1,1,1,2
497,2,3,4,4,2,1,2,2,2,3,1
498,1,0,0,0,0,1,2,1,0,0,3
499,0,0,2,0,1,2,0,1,3,2,1
500,3,1,1,1,1,1,1,0,1,0,2
501,3,2,1,4,3,4,3,2,3,3,3
502,3,2,2,2,3,3,2,2,1,1,3
503,3,1,1,2,3,4,2,1,0,1,3
504,4,2,3,3,4,4,3,2,4,4,4
505,1,3,2,3,3,0,2,2,2,2,2
506,1,3,3,2,2,2,3,2,2,2,2
507,1,3,2,3,2,3,2,2,2,3,2
508,1,2,1,1,3,0,2,1,2,2,2
509,3,1,2,2,2,3,3,2,2,2,2
510,4,0,2,1,3,3,4,4,2,0,4
511,0,3,4,4,4,1,2,3,3,3,2
512,2,3,3,4,3,4,2,4,4,2,4
513,2,2,2,1,2,1,2,2,2,2,1
514,1,3,2,2,1,2,1,4,4,3,2
515,4,3,3,3,2,4,4,4,2,2,2
516,1,3,3,1,2,0,1,1,3,3,1
517,2,0,0,1,0,0,2,0,1,0,4
518,1,2,4,1,4,3,2,3,4,3,2
519,0,3,2,2,2,1,2,2,2,2,1
520,0,3,2,2,2,0,0,1,3,3,0
521,0,2,0,0,0,2,1,3,2,0,0
522,3,2,2,3,4,3,4,4,3,3,3
523,1,4,0,4,3,1,1,1,2,2,1
524,1,0,1,1,1,2,2,2,0,2,3
525,2,1,1,3,2,2,2,2,3,2,2
526,3,3,1,2,2,4,3,3,2,3,3
527,4,1,2,3,2,1,2,0,0,0,2
528,3,3,2,3,3,2,3,3,2,3,3
529,1,2,1,2,0,2,2,2,1,2,2
530,4,4,4,4,4,4,4,4,4,4,4
531,3,2,2,4,4,3,1,3,2,1,1
532,0,0,0,1,2,0,0,0,2,0,0
533,3,4,3,3,3,3,2,4,4,4,4
534,4,0,2,2,1,1,1,2,3,2,3
535,3,0,1,2,1,2,2,2,0,1,2
536,4,4,3,4,3,3,3,4,2,3,4
537,3,2,4,4,3,3,4,2,3,2,2
538,4,4,4,4,4,4,4,4,4,4,4
539,4,0,1,4,2,3,2,0,0,2,2
540,3,3,3,2,2,3,3,2,4,4,1
541,2,2,2,3,2,3,2,2,3,4,3
542,2,2,3,3,4,2,0,1,3,3,2
543,3,3,3,1,2,3,3,2,4,2,3
544,4,1,2,2,2,3,4,1,1,2,4
545,1,2,3,1,1,1,0,1,2,1,1
546,2,2,3,3,3,1,0,2,0,1,0
547,3,2,2,3,2,2,3,2,2,2,4
548,1,1,3,4,2,0,0,2,2,2,0
549,2,4,2,3,2,2,1,3,0,3,0
550,2,0,1,3,0,1,1,1,0,1,2
551,2,3,4,3,2,3,3,3,4,3,2
552,4,1,2,0,0,4,2,2,1,3,3
553,4,3,3,1,3,2,2,3,3,1,2
554,3,2,1,1,2,0,3,2,4,2,1
555,1,2,4,2,2,0,0,2,3,3,0
556,4,3,2,3,2,4,4,2,3,2,3
557,1,1,1,2,1,1,2,0,2,1,1
558,0,3,2,2,2,0,1,1,3,2,0
559,0,2,3,2,1,0,1,2,3,3,3
560,4,2,3,2,2,4,4,3,3,2,4
561,1,2,3,2,3,2,1,3,2,4,1
562,2,4,4,4,4,3,2,2,4,4,2
563,0,2,2,2,1,0,1,1,2,1,0
564,1,0,0,1,1,2,0,2,3,2,2
565,0,2,3,2,2,0,3,4,2,4,1
566,4,2,3,3,2,2,3,2,2,2,2
567,1,1,2,1,1,2,3,2,0,2,2
568,2,3,2,1,2,4,3,2,3,2,3
569,0,4,4,4,3,0,2,1,4,3,0
570,0,4,2,3,1,3,1,2,1,2,1
571,4,3,2,3,1,4,4,4,4,2,4
572,2,1,2,1,1,2,1,0,0,0,1
573,2,3,4,3,3,2,3,3,3,4,3
574,4,4,1,2,3,3,4,3,2,2,2
575,4,4,4,4,3,4,4,4,4,3,3
576,1,1,2,2,2,2,3,3,4,3,3
